Year,Month Name,Quarter,Total Revenue,Customers no.,Orders no.
2016,Sep,Q3,134.97,1,1
2016,Oct,Q4,40941.3,267,270
2016,Dec,Q4,10.9,1,1
2017,Jan,Q1,111798.36,718,750
2017,Feb,Q1,234223.4,1630,1653
2017,Mar,Q1,359198.85,2508,2546
2017,Apr,Q2,340669.68,2274,2303
2017,May,Q2,489159.25,3478,3545
2017,Jun,Q2,421923.37,3076,3135
2017,Jul,Q3,481604.52,3802,3872
2017,Aug,Q3,554699.7,4114,4193
2017,Sep,Q3,607399.67,4083,4150
2017,Oct,Q4,648247.65,4417,4478
2017,Nov,Q4,987648.07,7182,7288
2017,Dec,Q4,726033.19,5450,5513
2018,Jan,Q1,924645,6974,7069
2018,Feb,Q1,826467.12,6401,6556
2018,Mar,Q1,953356.25,6914,7003
2018,Apr,Q2,973534.09,6744,6798
2018,May,Q2,977544.69,6693,6749
2018,Jun,Q2,855591.97,6058,6096
2018,Jul,Q3,867486.47,6097,6156
2018,Aug,Q3,838576.64,6310,6351
